unit,vehicle,serial_no,description,axle_position,measure_date,pan_size,since
220007,60307,M66000239R,POWER WHEELSET B5005  (ROT),2,07/04/2017,780.58,1005564
220024,60724,M66000067,POWER WHEELSET B5005  (ROT),3,31/05/2017,748.45,643706
220028,60728,M66000269,POWER WHEELSET B5005  (ROT),2,13/12/2016,760.22,739012
220021,60321,M66000130,POWER WHEELSET B5005  (ROT),2,14/06/2017,770.94,347770
220017,60217,M66000244,POWER WHEELSET B5005  (ROT),2,15/02/2017,733.61,983751
220018,60418,M66000162R,POWER WHEELSET B5005  (ROT),2,26/08/2017,759.01,884795.5
220007,60407,M66000107,POWER WHEELSET B5005  (ROT),2,19/05/2017,771.09,290445
220005,60705,M66000294RG,POWER WHEELSET B5005  (ROT),2,21/05/2017,770.77,420931
220032,60732,M66000209R,POWER WHEELSET B5005  (ROT),2,09/03/2017,771.55,1053135
220004,60704,M66000159R,POWER WHEELSET B5005  (ROT),3,23/09/2017,771.63,250109
220021,60721,M66000301RG,POWER WHEELSET B5005  (ROT),2,13/07/2017,765.62,362647
220006,60306,M66000226R,POWER SANDER WHEELSET B5005  (ROT),3,10/02/2017,780.46,1073265
220013,60713,M66000117,POWER WHEELSET B5005  (ROT),2,30/11/2016,771.46,264950
220016,60216,M66000054,POWER WHEELSET B5005  (ROT),3,28/04/2017,733.21,823476
220016,60216,M66000260,POWER WHEELSET B5005  (ROT),2,28/04/2017,738.12,823476
220011,60411,M66000270,POWER WHEELSET B5005  (ROT),2,10/06/2017,752.37,684642
220019,60719,E9551.44,POWER WHEELSET B5005  (ROT),3,10/07/2017,745.93,742822
220031,60231,M66000111,POWER WHEELSET B5005  (ROT),3,21/07/2017,761.53,666148
220002,60402,M66000115,POWER WHEELSET B5005  (ROT),2,08/08/2017,772.03,216804
220010,60310,M66000087,POWER WHEELSET B5005  (ROT),2,24/07/2017,771.3,313415
220020,60220,M66000139R,POWER WHEELSET B5005  (ROT),2,12/07/2017,766.27,222525
220029,60229,M66000068,POWER WHEELSET B5005  (ROT),3,08/07/2017,730.57,498717
220017,60317,M66000076,POWER WHEELSET B5005  (ROT),2,15/02/2017,762.64,420095
220019,60319,M66000165,POWER SANDER WHEELSET B5005  (ROT),3,01/03/2017,733.71,653761
220011,60211,M66000128,POWER WHEELSET B5005  (ROT),3,18/05/2017,772.32,323720
220030,60230,M66000048,POWER WHEELSET B5005  (ROT),3,03/04/2017,748.41,765448
220005,60205,M66000118,POWER WHEELSET B5005  (ROT),3,21/05/2017,770.26,306766
220021,60421,M66000292RG,POWER WHEELSET B5005  (ROT),2,14/06/2017,753.39,430538
220011,60311,E9670.24,POWER WHEELSET B5005  (ROT),2,24/03/2017,736.58,989893
220033,60233,M66000108,POWER WHEELSET B5005  (ROT),2,04/02/2017,771.17,342989
220029,60729,M66000213R,POWER WHEELSET B5005  (ROT),3,28/07/2017,754.7,388453
220027,60327,M66000120,POWER WHEELSET B5005  (ROT),2,02/03/2017,732.79,725472
220025,60425,M66000175R,POWER WHEELSET B5005  (ROT),2,02/06/2017,764.32,388110
220009,60209,M66000177R,POWER WHEELSET B5005  (ROT),2,17/09/2017,773.86,46367
220033,60733,M66000029,POWER WHEELSET B5005  (ROT),3,30/10/2017,769.84,258886
220030,60330,M66000258,POWER WHEELSET B5005  (ROT),2,16/06/2017,735.68,789988
220033,60233,M66000287,POWER WHEELSET B5005  (ROT),3,04/02/2017,768.19,473925
220004,60304,M66000093,POWER WHEELSET B5005  (ROT),2,24/05/2017,730.52,955593
220006,60206,M66000278,POWER WHEELSET B5005  (ROT),3,09/08/2017,750.85,644645
220008,60708,E9671.33,POWER WHEELSET B5005  (ROT),3,07/03/2017,771.6,1055842
220013,60213,M66000299RG,POWER WHEELSET B5005  (ROT),2,30/05/2017,770.25,376832
220020,60220,M66000283,POWER WHEELSET B5005  (ROT),3,12/07/2017,763.79,547058
220004,60404,M66000334RG,POWER WHEELSET B5005  (ROT),2,06/09/2017,768.35,108420
220008,60208,E9550.30,POWER WHEELSET B5005  (ROT),3,06/05/2017,770.64,278010
220004,60704,M66000161R,POWER WHEELSET B5005  (ROT),2,23/09/2017,770.88,250109
220030,60430,E9671.12,POWER WHEELSET B5005  (ROT),2,31/05/2017,769.56,1133890
220020,60420,M66000207R,POWER SANDER WHEELSET B5005  (ROT),3,02/11/2017,770.94,1119359
220029,60429,M66000216,POWER SANDER WHEELSET B5005  (ROT),3,23/05/2017,740.19,1145809
220033,60333,M66000113,POWER SANDER WHEELSET B5005  (ROT),3,27/05/2017,759.77,314510
220021,60421,M66000147R,POWER SANDER WHEELSET B5005  (ROT),3,14/06/2017,758.14,148435
220031,60431,M66000146,POWER SANDER WHEELSET B5005  (ROT),3,19/09/2016,768.19,582608
220008,60708,M66000295RG,POWER WHEELSET B5005  (ROT),2,07/03/2017,769.38,406405
220028,60328,M66000249,POWER SANDER WHEELSET B5005  (ROT),3,09/06/2017,740.01,928903
220009,60309,M66000066,POWER SANDER WHEELSET B5005  (ROT),3,28/06/2017,745.65,500681
220016,60316,E9550.44,POWER SANDER WHEELSET B5005  (ROT),3,14/03/2017,780.47,183384
220008,60308,M66000185R,POWER SANDER WHEELSET B5005  (ROT),3,06/09/2017,753.13,406405
220019,60419,M66000271,POWER SANDER WHEELSET B5005  (ROT),3,29/03/2017,743.4,653761
220034,60334,M66000246,POWER SANDER WHEELSET B5005  (ROT),3,16/04/2017,734.74,725700
220013,60413,M66000288RG,POWER WHEELSET B5005  (ROT),2,22/09/2017,761.46,92288
220007,60407,M66000086,POWER SANDER WHEELSET B5005  (ROT),3,19/05/2017,771.84,291343
220017,60417,M66000262,POWER SANDER WHEELSET B5005  (ROT),3,12/07/2017,744.47,790369
220012,60312,M66000061,POWER SANDER WHEELSET B5005  (ROT),3,07/06/2017,760.05,379818
220011,60311,M66000012,POWER SANDER WHEELSET B5005  (ROT),3,24/03/2017,738.19,989893
220029,60329,E9670.33,POWER SANDER WHEELSET B5005  (ROT),3,29/10/2017,765.43,897130
220017,60317,M66000228R,POWER SANDER WHEELSET B5005  (ROT),3,15/02/2017,762.18,1063506
220006,60406,M66000286,POWER SANDER WHEELSET B5005  (ROT),3,14/11/2017,744.47,504341
220025,60425,M66000298RG,POWER SANDER WHEELSET B5005  (ROT),3,02/06/2017,764.16,388110
220027,60327,M66000081,POWER SANDER WHEELSET B5005  (ROT),3,02/03/2017,730.75,807430
220004,60404,M66000297RG,POWER SANDER WHEELSET B5005  (ROT),3,06/09/2017,763.51,410985
220010,60310,E9316.31G,POWER SANDER WHEELSET B5005  (ROT),3,24/07/2017,766.23,313415
220021,60321,M66000321RG,POWER SANDER WHEELSET B5005  (ROT),3,14/06/2017,772.08,147540
220010,60410,M66000101,POWER SANDER WHEELSET B5005  (ROT),3,24/10/2017,769.05,207669
220028,60428,M66000088,POWER SANDER WHEELSET B5005  (ROT),3,14/09/2017,768.62,297178
220019,60419,M66000157,POWER WHEELSET B5005  (ROT),2,29/03/2017,746.7,653761
220032,60332,M66000266,POWER SANDER WHEELSET B5005  (ROT),3,05/09/2017,747.19,743637
220034,60434,M66000346RG,POWER SANDER WHEELSET B5005  (ROT),3,02/10/2017,780.49,27851
220025,60325,M66000282,POWER SANDER WHEELSET B5005  (ROT),3,02/06/2017,733.68,542455
220005,60305,M66000055,POWER SANDER WHEELSET B5005  (ROT),3,16/02/2017,745.43,735179
220013,60413,M66000306RG,POWER SANDER WHEELSET B5005  (ROT),3,22/09/2017,757.88,330218
220001,60401,M66000247,POWER SANDER WHEELSET B5005  (ROT),3,07/09/2017,767.74,884146
220033,60433,M66000150R,POWER SANDER WHEELSET B5005  (ROT),3,23/07/2017,770.7,90952
220023,60423,M66000144R,POWER SANDER WHEELSET B5005  (ROT),3,06/10/2017,770.85,300202
220024,60324,M66000098,POWER SANDER WHEELSET B5005  (ROT),3,04/05/2017,766.03,325027
220030,60330,M66000214,POWER SANDER WHEELSET B5005  (ROT),3,16/06/2017,734.04,789988
220024,60424,M66000019,POWER SANDER WHEELSET B5005  (ROT),3,28/12/2016,744.21,625082
